sport:,game:,book:,direction:,type:,value:,prob:,price:
NFL, Atlanta  Falcons  vs  Tampa  Bay  Buccaneers ,betonlineag,over,spreads,2.17,52.33,105
NFL, Chicago  Bears  vs  Detroit  Lions ,fanduel,over,spreads,5.2,52.6,100
NFL, Chicago  Bears  vs  Detroit  Lions ,draftkings,over,spreads,4.76,52.38,100
NFL, Chicago  Bears  vs  Detroit  Lions ,superbook,over,spreads,4.76,52.38,100
NFL, Chicago  Bears  vs  Detroit  Lions ,lowvig,over,spreads,1.44,50.97,-101
NFL, Chicago  Bears  vs  Detroit  Lions ,betonlineag,over,spreads,3.76,52.14,-101
NFL, Chicago  Bears  vs  Detroit  Lions ,bovada,over,spreads,4.76,52.38,100
NFL, Chicago  Bears  vs  Detroit  Lions ,betus,over,spreads,4.76,52.38,100
NFL, Chicago  Bears  vs  Detroit  Lions ,betrivers,over,spreads,2.05,51.78,-103
NFL, Chicago  Bears  vs  Detroit  Lions ,unibet_us,over,spreads,2.05,51.78,-103
NFL, Chicago  Bears  vs  Detroit  Lions ,twinspires,over,spreads,2.05,51.78,-103
NFL, Chicago  Bears  vs  Detroit  Lions ,mybookieag,over,spreads,3.76,52.14,-101
NFL, Chicago  Bears  vs  Detroit  Lions ,betmgm,over,spreads,4.76,52.38,100
NFL, Cincinnati  Bengals  vs  Indianapolis  Colts ,lowvig,over,spreads,2.44,51.22,100
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,fanduel,over,spreads,1.33,51.66,-104
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,superbook,over,spreads,4.76,52.38,100
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,williamhill_us,over,spreads,4.76,52.38,100
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,lowvig,over,spreads,0.65,51.31,104
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,betonlineag,over,spreads,4.76,52.38,100
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,bovada,over,spreads,4.76,52.38,100
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,betmgm,over,spreads,4.76,52.38,100
NFL, Cleveland  Browns  vs  Jacksonville  Jaguars ,wynnbet,over,spreads,4.76,52.38,100
NFL, Las  Vegas  Raiders  vs  Minnesota  Vikings ,superbook,over,spreads,4.76,52.38,100
NFL, Kansas  City  Chiefs  vs  Buffalo  Bills ,lowvig,over,spreads,0.47,50.73,-102
NFL, Los  Angeles  Chargers  vs  Denver  Broncos ,fanduel,over,spreads,1.33,51.66,-104
NFL, Los  Angeles  Chargers  vs  Denver  Broncos ,superbook,over,spreads,4.76,52.38,100
NFL, Los  Angeles  Chargers  vs  Denver  Broncos ,lowvig,over,spreads,1.15,51.32,103
NFL, Los  Angeles  Chargers  vs  Denver  Broncos ,betonlineag,over,spreads,2.78,51.9,-102
NFL, Dallas  Cowboys  vs  Philadelphia  Eagles ,fanduel,over,spreads,5.2,52.6,100
NFL, Dallas  Cowboys  vs  Philadelphia  Eagles ,draftkings,over,spreads,2.78,51.9,-102
NFL, Dallas  Cowboys  vs  Philadelphia  Eagles ,superbook,over,spreads,4.76,52.38,100
NFL, Dallas  Cowboys  vs  Philadelphia  Eagles ,lowvig,over,spreads,1.44,50.97,-101
