sport:,game:,book:,direction:,type:,value:,prob:,price:
NFL, Detroit  Lions  vs  Tampa  Bay  Buccaneers ,lowvig,over,spreads,1.44,50.97,-101
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,fanduel,over,spreads,5.2,52.6,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,lowvig,over,spreads,0.16,51.3,105
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,betonlineag,over,spreads,3.76,52.14,-101
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,draftkings,over,spreads,4.76,52.38,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,betrivers,over,spreads,3.67,52.35,102
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,unibet_us,over,spreads,3.67,52.35,102
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,betmgm,over,spreads,4.76,52.38,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,bovada,over,spreads,4.76,52.38,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,williamhill_us,over,spreads,4.76,52.38,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,superbook,over,spreads,4.76,52.38,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,betus,over,spreads,4.76,52.38,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,mybookieag,over,spreads,4.76,52.38,100
NFL, Buffalo  Bills  vs  Kansas  City  Chiefs ,wynnbet,over,spreads,4.76,52.38,100
NBA, Atlanta  Hawks  vs  Orlando  Magic ,lowvig,over,spreads,1.91,51.21,-101
NBA, Boston  Celtics  vs  San  Antonio  Spurs ,lowvig,over,spreads,1.91,51.21,-101
NBA, Cleveland  Cavaliers  vs  Milwaukee  Bucks ,lowvig,over,spreads,1.91,51.21,-101
NBA, Los  Angeles  Lakers  vs  Dallas  Mavericks ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Appalachian  St  Mountaineers  vs  Georgia  St  Panthers ,betonlineag,over,spreads,1.2,52.31,107
NCAAB, Appalachian  St  Mountaineers  vs  Georgia  St  Panthers ,draftkings,over,spreads,2.17,52.33,105
NCAAB, Mercer  Bears  vs  Chattanooga  Mocs ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Robert  Morris  Colonials  vs  Detroit  Mercy  Titans ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Wofford  Terriers  vs  East  Tennessee  St  Buccaneers ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, Miami  Hurricanes  vs  Florida  St  Seminoles ,lowvig,over,spreads,1.91,51.21,-101
NCAAB, Miami  Hurricanes  vs  Florida  St  Seminoles ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, Radford  Highlanders  vs  Gardner-Webb  Bulldogs ,fanduel,over,spreads,1.33,51.66,-104
NCAAB, Radford  Highlanders  vs  Gardner-Webb  Bulldogs ,wynnbet,over,spreads,3.76,52.14,-101
NCAAB, Kentucky  Wildcats  vs  Mississippi  St  Bulldogs ,betonlineag,over,spreads,0.88,51.43,-104
NCAAB, Kentucky  Wildcats  vs  Mississippi  St  Bulldogs ,lowvig,over,spreads,2.92,51.46,100
NCAAB, Kentucky  Wildcats  vs  Mississippi  St  Bulldogs ,fanduel,over,spreads,3.24,52.13,-102
NCAAB, LSU  Tigers  vs  Ole  Miss  Rebels ,betonlineag,over,spreads,1.84,51.67,-103
NCAAB, LSU  Tigers  vs  Ole  Miss  Rebels ,lowvig,over,spreads,2.39,51.45,101
NCAAB, Navy  Midshipmen  vs  Lehigh  Mountain  Hawks ,lowvig,over,spreads,1.91,51.21,-101
